,Position,Track Name,Artist,Streams
1034,179,Nephew (feat. Lil Pump),Smokepurpp,4029261
1035,180,CAN'T SAY,Travis Scott,3998963
1036,181,STOP TRYING TO BE GOD,Travis Scott,3990106
1037,182,Trivia 起 : Just Dance,BTS,3984039
1038,186,500 PS,Bonez MC,3968782
1039,189,Drew Barrymore,Bryce Vine,3957123
1040,191,Serendipity (Full Length Edition),BTS,3929171
1041,199,Right Now,Nick Jonas,3821018
1042,1,I Love It (& Lil Pump),Kanye West,33921412
1043,2,Falling Down - Bonus Track,Lil Peep,32511658
1044,8,Lucky You (feat. Joyner Lucas),Eminem,21396072
1045,12,Better,Khalid,17251714
1046,15,Electricity (with Dua Lipa),Silk City,15870224
1047,17,BEBE,6ix9ine,15026546
1048,23,Killshot,Eminem,13711262
1049,25,New Patek,Lil Uzi Vert,13518892
1050,27,Wake Up in the Sky,Gucci Mane,12483696
1051,36,No Stylist,French Montana,11380668
1052,52,Noticed,Lil Mosey,9253914
1053,53,REMEDY,Alesso,9070487
1054,54,The Ringer,Eminem,9011135
1055,57,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,8945403
1056,59,Drip Too Hard,Lil Baby,8332966
1057,69,Fall,Eminem,7653173
1058,72,Love Someone,Lukas Graham,7141694
1059,79,Amigos Con Derechos,Reik,6886640
1060,85,RAP DEVIL,Machine Gun Kelly,6750602
1061,86,SLOW DANCING IN THE DARK,Joji,6748949
1062,88,Not Alike (feat. Royce Da 5'9),Eminem,6514798
1063,92,Say My Name,David Guetta,6388270
1064,93,Ya No Tiene Novio,Sebastian Yatra,6383094
1065,102,Self Care,Mac Miller,6069881
1066,106,Let You Love Me,Rita Ora,5912403
1067,109,Leave Me Alone,Flipp Dinero,5764667
1068,113,Venom - Music From The Motion Picture,Eminem,5601837
1069,117,Greatest,Eminem,5494994
1070,119,8 Letters,Why Don't We,5461508
1071,127,Trip,Ella Mai,5298942
1072,133,Kamikaze,Eminem,5082532
1073,137,Want To,Dua Lipa,4910535
1074,148,REEL IT IN,Aminé,4669251
1075,152,Kokain,Bonez MC,4601151
1076,155,All I Am,Jess Glynne,4546474
1077,157,90MIN,Salmo,4531697
1078,168,Ciumeira - Ao Vivo,Marília Mendonça,4276484
1079,173,INTERNATIONAL GANGSTAS,Farid Bang,4227364
1080,178,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",Imagine Dragons,4157114
1081,179,Creep On Me,GASHI,4154838
1082,181,Head Above Water,Avril Lavigne,4126472
1083,183,UFF,Veysel,4104415
1084,186,BONNIE & CLYDE,Loredana,4077518
1085,193,Feels Like Summer,Childish Gambino,4003324
1086,194,Lust,Lil Skies,3968042
1087,197,Guiding Light,Mumford & Sons,3950404
1088,1,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,40096470
1089,2,MIA (feat. Drake),Bad Bunny,33790813
1090,4,ZEZE (feat. Travis Scott & Offset),Kodak Black,25675014
1091,5,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,25233843
1092,6,Shallow,Lady Gaga,24206277
1093,8,Without Me,Halsey,21400500
1094,16,Kiss and Make Up,Dua Lipa,15971199
1095,18,when the party's over,Billie Eilish,15651708
1096,21,Fine China,Future,14436312
1097,23,Drip Too Hard (Lil Baby & Gunna),Lil Baby,14388842
1098,26,Suncity (feat. Empress Of),Khalid,13693043
